Ore Name,ItemStack,Item ID,Display Name,Wildcard
blockCoal,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoal,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalBlack,1xtile.extrautils:color_blockCoal@0,ExtraUtilities:color_blockCoal,Colored Block of Coal (White Frequency),false
blockCoalBlue,1xtile.extrautils:color_blockCoal@4,ExtraUtilities:color_blockCoal,Colored Block of Coal (Yellow Frequency),false
blockCoalBrown,1xtile.extrautils:color_blockCoal@3,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Blue Frequency),false
blockCoalCyan,1xtile.extrautils:color_blockCoal@6,ExtraUtilities:color_blockCoal,Colored Block of Coal (Pink Frequency),false
blockCoalGray,1xtile.extrautils:color_blockCoal@8,ExtraUtilities:color_blockCoal,Colored Block of Coal (Light Gray Frequency),false
blockCoalGreen,1xtile.extrautils:color_blockCoal@2,ExtraUtilities:color_blockCoal,Colored Block of Coal (Magenta Frequency),false
blockCoalLightBlue,1xtile.extrautils:color_blockCoal@12,ExtraUtilities:color_blockCoal,Colored Block of Coal (Brown Frequency),false
blockCoalLightGray,1xtile.extrautils:color_blockCoal@7,ExtraUtilities:color_blockCoal,Colored Block of Coal (Gray Frequency),false
blockCoalLime,1xtile.extrautils:color_blockCoal@10,ExtraUtilities:color_blockCoal,Colored Block of Coal (Purple Frequency),false
blockCoalMagenta,1xtile.extrautils:color_blockCoal@13,ExtraUtilities:color_blockCoal,Colored Block of Coal (Green Frequency),false
blockCoalOrange,1xtile.extrautils:color_blockCoal@14,ExtraUtilities:color_blockCoal,Colored Block of Coal (Red Frequency),false
blockCoalPink,1xtile.extrautils:color_blockCoal@9,ExtraUtilities:color_blockCoal,Colored Block of Coal (Cyan Frequency),false
blockCoalPurple,1xtile.extrautils:color_blockCoal@5,ExtraUtilities:color_blockCoal,Colored Block of Coal (Lime Frequency),false
blockCoalRed,1xtile.extrautils:color_blockCoal@1,ExtraUtilities:color_blockCoal,Colored Block of Coal (Orange Frequency),false
blockCoalWhite,1xtile.extrautils:color_blockCoal@15,ExtraUtilities:color_blockCoal,Colored Block of Coal (Black Frequency),false
blockCoalYellow,1xtile.extrautils:color_blockCoal@11,ExtraUtilities:color_blockCoal,Colored Block of Coal (Blue Frequency),false
blockCobalt,1xtile.tconstruct.metalblock@0,TConstruct:MetalBlock,Block of Cobalt,false
blockConductiveIron,1xtile.blockIngotStorage@4,EnderIO:blockIngotStorage,Conductive Iron Block,false
blockCopper,1xic2.blockMetal@0,IC2:blockMetal,Copper Block,false
blockCopper,1xtile.for.resourceStorage@1,Forestry:resourceStorage,Block of Copper,false
blockCopper,1xtile.thermalfoundation.storage@0,ThermalFoundation:Storage,Copper Block,false
blockCopper,1xtile.railcraft.cube@9,Railcraft:cube,Block of Copper,false
blockCopper,1xtile.tconstruct.metalblock@3,TConstruct:MetalBlock,Block of Copper,false
blockCrystalFlux,1xtile.redstonearsenal.storage@1,RedstoneArsenal:Storage,Flux Crystal Block,false
blockCyanite,1xtile.brMetal.0@1,BigReactors:BRMetalBlock,Cyanite Block,false
blockDarkSteel,1xtile.blockIngotStorage@6,EnderIO:blockIngotStorage,Dark Steel Block,false
blockDiamond,1xtile.blockDiamond@0,minecraft:diamond_block,Block of Diamond,false
blockElectricalSteel,1xtile.blockIngotStorage@0,EnderIO:blockIngotStorage,Electrical Steel Block,false
blockElectrum,1xtile.thermalfoundation.storage@7,ThermalFoundation:Storage,Electrum Block,false
blockElectrumFlux,1xtile.redstonearsenal.storage@0,RedstoneArsenal:Storage,Fluxed Electrum Block,false
blockEmerald,1xtile.blockEmerald@0,minecraft:emerald_block,Block of Emerald,false
blockEnder,1xtile.tconstruct.metalblock@10,TConstruct:MetalBlock,Block of Solid Ender,false
blockEnderium,1xtile.thermalfoundation.storage@12,ThermalFoundation:Storage,Enderium Block,false
blockEnergeticAlloy,1xtile.blockIngotStorage@1,EnderIO:blockIngotStorage,Energetic Alloy Block,false
blockFzDarkIron,1xtile.factorization.ResourceBlock@3,factorization:ResourceBlock,Block of Dark Iron,false
blockGlass,1xtile.glass@0,minecraft:glass,Glass,false
blockGlass,1xtile.stainedGlass@32767,minecraft:stained_glass,(wildcard),true
blockGlass,1xtile.mfr.stainedglass.block@32767,MineFactoryReloaded:stainedglass.block,(wildcard),true
blockGlass,1xtile.blockFusedQuartz@1,EnderIO:blockFusedQuartz,Quite Clear Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@0,ExtraUtilities:decorativeBlock2,Thickened Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@1,ExtraUtilities:decorativeBlock2,Edged Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@2,ExtraUtilities:decorativeBlock2,Glass Bricks,false
blockGlass,1xtile.extrautils:decorativeBlock2@3,ExtraUtilities:decorativeBlock2,Carved Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@6,ExtraUtilities:decorativeBlock2,Swirling Glass,false
blockGlass,1xtile.extrautils:decorativeBlock2@9,ExtraUtilities:decorativeBlock2,Square Glass,false
blockGlass,1xtile.GlassBlock@0,TConstruct:GlassBlock,Clear Glass,false
blockGlassBlack,1xtile.stainedGlass@15,minecraft:stained_glass,Black Stained Glass,false
blockGlassBlack,1xtile.mfr.stainedglass.block@15,MineFactoryReloaded:stainedglass.block,Stained Glass (Black),false
blockGlassBlue,1xtile.stainedGlass@11,minecraft:stained_glass,Blue Stained Glass,false
blockGlassBlue,1xtile.mfr.stainedglass.block@11,MineFactoryReloaded:stainedglass.block,Stained Glass (Blue),false
blockGlassBrown,1xtile.stainedGlass@12,minecraft:stained_glass,Brown Stained Glass,false
blockGlassBrown,1xtile.mfr.stainedglass.block@12,MineFactoryReloaded:stainedglass.block,Stained Glass (Brown),false
blockGlassColorless,1xtile.glass@0,minecraft:glass,Glass,false
blockGlassCyan,1xtile.stainedGlass@9,minecraft:stained_glass,Cyan Stained Glass,false
blockGlassCyan,1xtile.mfr.stainedglass.block@9,MineFactoryReloaded:stainedglass.block,Stained Glass (Cyan),false
blockGlassGray,1xtile.stainedGlass@7,minecraft:stained_glass,Gray Stained Glass,false
blockGlassGray,1xtile.mfr.stainedglass.block@7,MineFactoryReloaded:stainedglass.block,Stained Glass (Gray),false
blockGlassGreen,1xtile.stainedGlass@13,minecraft:stained_glass,Green Stained Glass,false
blockGlassGreen,1xtile.mfr.stainedglass.block@13,MineFactoryReloaded:stainedglass.block,Stained Glass (Green),false
blockGlassHardened,1xtile.blockFusedQuartz@0,EnderIO:blockFusedQuartz,Fused Quartz,false
blockGlassHardened,1xtile.thermalexpansion.glass@0,ThermalExpansion:Glass,Hardened Glass,false
blockGlassLightBlue,1xtile.stainedGlass@3,minecraft:stained_glass,Light Blue Stained Glass,false
blockGlassLightBlue,1xtile.mfr.stainedglass.block@3,MineFactoryReloaded:stainedglass.block,Stained Glass (Light Blue),false
blockGlassLightGray,1xtile.stainedGlass@8,minecraft:stained_glass,Light Gray Stained Glass,false
blockGlassLightGray,1xtile.mfr.stainedglass.block@8,MineFactoryReloaded:stainedglass.block,Stained Glass (Light Gray),false
blockGlassLime,1xtile.stainedGlass@5,minecraft:stained_glass,Lime Stained Glass,false
blockGlassLime,1xtile.mfr.stainedglass.block@5,MineFactoryReloaded:stainedglass.block,Stained Glass (Lime),false
blockGlassMagenta,1xtile.stainedGlass@2,minecraft:stained_glass,Magenta Stained Glass,false
blockGlassMagenta,1xtile.mfr.stainedglass.block@2,MineFactoryReloaded:stainedglass.block,Stained Glass (Magenta),false
blockGlassOrange,1xtile.stainedGlass@1,minecraft:stained_glass,Orange Stained Glass,false
blockGlassOrange,1xtile.mfr.stainedglass.block@1,MineFactoryReloaded:stainedglass.block,Stained Glass (Orange),false
blockGlassPink,1xtile.stainedGlass@6,minecraft:stained_glass,Pink Stained Glass,false
blockGlassPink,1xtile.mfr.stainedglass.block@6,MineFactoryReloaded:stainedglass.block,Stained Glass (Pink),false
blockGlassPurple,1xtile.stainedGlass@10,minecraft:stained_glass,Purple Stained Glass,false
blockGlassPurple,1xtile.mfr.stainedglass.block@10,MineFactoryReloaded:stainedglass.block,Stained Glass (Purple),false
blockGlassRed,1xtile.stainedGlass@14,minecraft:stained_glass,Red Stained Glass,false
blockGlassRed,1xtile.mfr.stainedglass.block@14,MineFactoryReloaded:stainedglass.block,Stained Glass (Red),false
blockGlassWhite,1xtile.stainedGlass@0,minecraft:stained_glass,White Stained Glass,false
blockGlassWhite,1xtile.mfr.stainedglass.block@0,MineFactoryReloaded:stainedglass.block,Stained Glass (White),false
blockGlassYellow,1xtile.stainedGlass@4,minecraft:stained_glass,Yellow Stained Glass,false
blockGlassYellow,1xtile.mfr.stainedglass.block@4,MineFactoryReloaded:stainedglass.block,Stained Glass (Yellow),false
blockGold,1xtile.blockGold@0,minecraft:gold_block,Block of Gold,false
blockGraphite,1xtile.brMetal.0@2,BigReactors:BRMetalBlock,Graphite Block,false
blockIce,1xtile.ice@0,minecraft:ice,Ice,false
blockInvar,1xtile.thermalfoundation.storage@8,ThermalFoundation:Storage,Invar Block,false
blockIron,1xtile.blockIron@0,minecraft:iron_block,Block of Iron,false
blockIronCompressed,1xtile.compressedIronBlock@0,PneumaticCraft:compressedIronBlock,Block of Compressed Iron,false
blockLapis,1xtile.blockLapis@0,minecraft:lapis_block,Lapis Lazuli Block,false
blockLapis,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapis,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisBlack,1xtile.extrautils:color_blockLapis@0,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (White Frequency),false
blockLapisBlue,1xtile.extrautils:color_blockLapis@4,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Yellow Frequency),false
blockLapisBrown,1xtile.extrautils:color_blockLapis@3,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Blue Frequency),false
blockLapisCyan,1xtile.extrautils:color_blockLapis@6,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Pink Frequency),false
blockLapisGray,1xtile.extrautils:color_blockLapis@8,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Light Gray Frequency),false
blockLapisGreen,1xtile.extrautils:color_blockLapis@2,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Magenta Frequency),false
blockLapisLightBlue,1xtile.extrautils:color_blockLapis@12,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Brown Frequency),false
blockLapisLightGray,1xtile.extrautils:color_blockLapis@7,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Gray Frequency),false
blockLapisLime,1xtile.extrautils:color_blockLapis@10,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Purple Frequency),false
blockLapisMagenta,1xtile.extrautils:color_blockLapis@13,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Green Frequency),false
blockLapisOrange,1xtile.extrautils:color_blockLapis@14,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Red Frequency),false
blockLapisPink,1xtile.extrautils:color_blockLapis@9,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Cyan Frequency),false
blockLapisPurple,1xtile.extrautils:color_blockLapis@5,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Lime Frequency),false
blockLapisRed,1xtile.extrautils:color_blockLapis@1,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Orange Frequency),false
blockLapisWhite,1xtile.extrautils:color_blockLapis@15,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Black Frequency),false
blockLapisYellow,1xtile.extrautils:color_blockLapis@11,ExtraUtilities:color_blockLapis,Colored Lapis Lazuli Block (Blue Frequency),false
blockLead,1xic2.blockMetal@4,IC2:blockMetal,Lead Block,false
blockLead,1xtile.thermalfoundation.storage@3,ThermalFoundation:Storage,Lead Block,false
blockLead,1xtile.railcraft.cube@11,Railcraft:cube,Block of Lead,false
blockLead,1xtile.factorization.ResourceBlock@2,factorization:ResourceBlock,Block of Lead,false
blockLudicrite,1xtile.brMetal.0@4,BigReactors:BRMetalBlock,Ludicrite Block,false
blockLumium,1xtile.thermalfoundation.storage@11,ThermalFoundation:Storage,Lumium Block,false
blockManyullyn,1xtile.tconstruct.metalblock@2,TConstruct:MetalBlock,Block of Manyullyn,false
blockMarble,1xtile.chisel.marble@0,chisel:marble,Marble,false
blockMarble,1xtile.projectred.exploration.stone@0,ProjRed|Exploration:projectred.exploration.stone,Marble,false
blockMeat,1xtile.mfr.decorative.brick@13,MineFactoryReloaded:brick,Cooked Meat Block,false
blockMeatRaw,1xtile.flesh@0,BiomesOPlenty:flesh,Flesh,false
blockMeatRaw,1xtile.mfr.decorative.brick@12,MineFactoryReloaded:brick,Raw Meat Block,false
blockMithril,1xtile.thermalfoundation.storage@6,ThermalFoundation:Storage,Mana Infused Block,false
blockNickel,1xtile.thermalfoundation.storage@4,ThermalFoundation:Storage,Ferrous Block,false
blockPeridot,1xtile.projectred.exploration.stone@7,ProjRed|Exploration:projectred.exploration.stone,Block of Peridot,false
blockPhasedGold,1xtile.blockIngotStorage@2,EnderIO:blockIngotStorage,Vibrant Alloy Block,false
blockPhasedIron,1xtile.blockIngotStorage@5,EnderIO:blockIngotStorage,Pulsating Iron Block,false
blockPlastic,1xtile.mfr.plastic@0,MineFactoryReloaded:plastic,Block of Plastic,false
blockPlatinum,1xtile.thermalfoundation.storage@5,ThermalFoundation:Storage,Shiny Block,false
blockQuartz,1xtile.quartzBlock@0,minecraft:quartz_block,Block of Quartz,false
blockRedstone,1xtile.blockRedstone@0,minecraft:redstone_block,Block of Redstone,false
blockRedstone,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@1,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Orange Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@2,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Magenta Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@5,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Lime Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@6,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Pink Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@7,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@8,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Gray Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@9,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Cyan Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@10,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Purple Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@11,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Blue Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@12,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Brown Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@13,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Green Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@14,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Red Frequency),false
blockRedstone,1xtile.extrautils:color_blockRedstone@15,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Black Frequency),false
blockRedstoneAlloy,1xtile.blockIngotStorage@3,EnderIO:blockIngotStorage,Redstone Alloy Block,false
blockRedstoneBlack,1xtile.extrautils:color_blockRedstone@0,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (White Frequency),false
blockRedstoneBlue,1xtile.extrautils:color_blockRedstone@4,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Yellow Frequency),false
blockRedstoneBrown,1xtile.extrautils:color_blockRedstone@3,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Blue Frequency),false
blockRedstoneCyan,1xtile.extrautils:color_blockRedstone@6,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Pink Frequency),false
blockRedstoneGray,1xtile.extrautils:color_blockRedstone@8,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Light Gray Frequency),false
blockRedstoneGreen,1xtile.extrautils:color_blockRedstone@2,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Magenta Frequency),false
blockRedstoneLightBlue,1xtile.extrautils:color_blockRedstone@12,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Brown Frequency),false
blockRedstoneLightGray,1xtile.extrautils:color_blockRedstone@7,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Gray Frequency),false
blockRedstoneLime,1xtile.extrautils:color_blockRedstone@10,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Purple Frequency),false
blockRedstoneMagenta,1xtile.extrautils:color_blockRedstone@13,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Green Frequency),false
blockRedstoneOrange,1xtile.extrautils:color_blockRedstone@14,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Red Frequency),false
blockRedstonePink,1xtile.extrautils:color_blockRedstone@9,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Cyan Frequency),false
blockRedstonePurple,1xtile.extrautils:color_blockRedstone@5,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Lime Frequency),false
blockRedstoneRed,1xtile.extrautils:color_blockRedstone@1,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Orange Frequency),false
blockRedstoneWhite,1xtile.extrautils:color_blockRedstone@15,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Black Frequency),false
blockRedstoneYellow,1xtile.extrautils:color_blockRedstone@11,ExtraUtilities:color_blockRedstone,Colored Block of Redstone (Blue Frequency),false
blockRubber,1xtile.GlueBlock@0,TConstruct:GlueBlock,Glue Block,false
blockRuby,1xtile.projectred.exploration.stone@5,ProjRed|Exploration:projectred.exploration.stone,Block of Ruby,false
blockSapphire,1xtile.projectred.exploration.stone@6,ProjRed|Exploration:projectred.exploration.stone,Block of Sapphire,false
blockSignalum,1xtile.thermalfoundation.storage@10,ThermalFoundation:Storage,Signalum Block,false
blockSilver,1xtile.thermalfoundation.storage@2,ThermalFoundation:Storage,Silver Block,false
blockSilver,1xtile.factorization.ResourceBlock@1,factorization:ResourceBlock,Block of Silver,false
blockSnow,1xtile.snow@0,minecraft:snow,Snow,false
blockSoularium,1xtile.blockIngotStorage@7,EnderIO:blockIngotStorage,Soularium Block,false
blockStainedHardenedClay,1xtile.clayHardenedStained@32767,minecraft:stained_hardened_clay,(wildcard),true
blockSteel,1xic2.blockMetal@5,IC2:blockMetal,Refined Iron Block,false
blockSteel,1xtile.railcraft.cube@2,Railcraft:cube,Block of Steel,false
blockSteel,1xtile.tconstruct.metalblock@9,TConstruct:MetalBlock,Block of Steel,false
blockTin,1xic2.blockMetal@1,IC2:blockMetal,Tin Block,false
blockTin,1xtile.for.resourceStorage@2,Forestry:resourceStorage,Block of Tin,false
blockTin,1xtile.thermalfoundation.storage@1,ThermalFoundation:Storage,Tin Block,false
blockTin,1xtile.railcraft.cube@10,Railcraft:cube,Block of Tin,false
blockTin,1xtile.tconstruct.metalblock@5,TConstruct:MetalBlock,Block of Tin,false
blockUnstable,1xtile.extrautils:decorativeBlock1@5,ExtraUtilities:decorativeBlock1,Unstable Ingot Block,false
blockUranium,1xic2.blockMetal@3,IC2:blockMetal,Uranium Block,false
blockWaterstone,1xtile.chisel.waterstone@0,chisel:waterstone,Waterstone,false
blockWool,1xtile.cloth@32767,minecraft:wool,(wildcard),true
blockWoolBlack,1xtile.cloth@15,minecraft:wool,Black Wool,false
blockWoolBlue,1xtile.cloth@11,minecraft:wool,Blue Wool,false
blockWoolBrown,1xtile.cloth@12,minecraft:wool,Brown Wool,false
blockWoolCyan,1xtile.cloth@9,minecraft:wool,Cyan Wool,false
blockWoolGray,1xtile.cloth@7,minecraft:wool,Gray Wool,false
blockWoolGreen,1xtile.cloth@13,minecraft:wool,Green Wool,false
blockWoolLightBlue,1xtile.cloth@3,minecraft:wool,Light Blue Wool,false
blockWoolLightGray,1xtile.cloth@8,minecraft:wool,Light Gray Wool,false
blockWoolLime,1xtile.cloth@5,minecraft:wool,Lime Wool,false
blockWoolMagenta,1xtile.cloth@2,minecraft:wool,Magenta Wool,false
blockWoolOrange,1xtile.cloth@1,minecraft:wool,Orange Wool,false
blockWoolPink,1xtile.cloth@6,minecraft:wool,Pink Wool,false
blockWoolPurple,1xtile.cloth@10,minecraft:wool,Purple Wool,false
blockWoolRed,1xtile.cloth@14,minecraft:wool,Red Wool,false
blockWoolWhite,1xtile.cloth@0,minecraft:wool,Wool,false
blockWoolYellow,1xtile.cloth@4,minecraft:wool,Yellow Wool,false
blockYellorium,1xtile.brMetal.0@0,BigReactors:BRMetalBlock,Yellorium Block,false
